,rouge-1,rouge-2,rouge-l
725,"{'r': 0.3541666666666667, 'p': 0.3090909090909091, 'f': 0.3300970824017344}","{'r': 0.08333333333333333, 'p': 0.08620689655172414, 'f': 0.08474575771330108}","{'r': 0.3333333333333333, 'p': 0.2909090909090909, 'f': 0.310679606673579}"
726,"{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}"
727,"{'r': 0.6610169491525424, 'p': 0.65, 'f': 0.6554621798743028}","{'r': 0.609375, 'p': 0.582089552238806, 'f': 0.5954198423308665}","{'r': 0.6610169491525424, 'p': 0.65, 'f': 0.6554621798743028}"
728,"{'r': 0.96, 'p': 0.8888888888888888, 'f': 0.9230769180843196}","{'r': 0.8888888888888888, 'p': 0.8115942028985508, 'f': 0.848484843495179}","{'r': 0.96, 'p': 0.8888888888888888, 'f': 0.9230769180843196}"
729,"{'r': 0.74, 'p': 0.6607142857142857, 'f': 0.6981132025631898}","{'r': 0.5964912280701754, 'p': 0.5396825396825397, 'f': 0.5666666616791668}","{'r': 0.74, 'p': 0.6607142857142857, 'f': 0.6981132025631898}"
730,"{'r': 0.84, 'p': 0.8235294117647058, 'f': 0.8316831633173217}","{'r': 0.711864406779661, 'p': 0.7368421052631579, 'f': 0.7241379260359692}","{'r': 0.84, 'p': 0.8235294117647058, 'f': 0.8316831633173217}"
731,"{'r': 0.5952380952380952, 'p': 0.5555555555555556, 'f': 0.5747126386841064}","{'r': 0.42857142857142855, 'p': 0.4444444444444444, 'f': 0.4363636313652893}","{'r': 0.5952380952380952, 'p': 0.5555555555555556, 'f': 0.5747126386841064}"
732,"{'r': 0.7068965517241379, 'p': 0.7321428571428571, 'f': 0.719298240615574}","{'r': 0.5384615384615384, 'p': 0.5833333333333334, 'f': 0.559999995008}","{'r': 0.7068965517241379, 'p': 0.7321428571428571, 'f': 0.719298240615574}"
733,"{'r': 0.9818181818181818, 'p': 0.8059701492537313, 'f': 0.8852458966877184}","{'r': 0.9180327868852459, 'p': 0.7368421052631579, 'f': 0.8175182432351218}","{'r': 0.9818181818181818, 'p': 0.8059701492537313, 'f': 0.8852458966877184}"
734,"{'r': 0.6666666666666666, 'p': 0.6086956521739131, 'f': 0.6363636313739671}","{'r': 0.6274509803921569, 'p': 0.5423728813559322, 'f': 0.5818181768446282}","{'r': 0.6666666666666666, 'p': 0.6086956521739131, 'f': 0.6363636313739671}"
735,"{'r': 0.38596491228070173, 'p': 0.34375, 'f': 0.3636363586530975}","{'r': 0.10606060606060606, 'p': 0.0958904109589041, 'f': 0.1007194194731124}","{'r': 0.3684210526315789, 'p': 0.328125, 'f': 0.34710743303326275}"
736,"{'r': 0.39285714285714285, 'p': 0.55, 'f': 0.4583333284722223}","{'r': 0.3220338983050847, 'p': 0.4318181818181818, 'f': 0.36893203394099355}","{'r': 0.39285714285714285, 'p': 0.55, 'f': 0.4583333284722223}"
737,"{'r': 0.7254901960784313, 'p': 0.7254901960784313, 'f': 0.7254901910784314}","{'r': 0.6349206349206349, 'p': 0.6060606060606061, 'f': 0.6201550337623942}","{'r': 0.7254901960784313, 'p': 0.7254901960784313, 'f': 0.7254901910784314}"
738,"{'r': 0.6037735849056604, 'p': 0.6037735849056604, 'f': 0.6037735799056604}","{'r': 0.4918032786885246, 'p': 0.5, 'f': 0.49586776359538287}","{'r': 0.6037735849056604, 'p': 0.6037735849056604, 'f': 0.6037735799056604}"
739,"{'r': 0.7857142857142857, 'p': 0.673469387755102, 'f': 0.7252747203043112}","{'r': 0.6909090909090909, 'p': 0.6031746031746031, 'f': 0.6440677916331514}","{'r': 0.7857142857142857, 'p': 0.673469387755102, 'f': 0.7252747203043112}"
740,"{'r': 0.8064516129032258, 'p': 0.8333333333333334, 'f': 0.8196721261488847}","{'r': 0.7611940298507462, 'p': 0.7285714285714285, 'f': 0.7445255424476531}","{'r': 0.8064516129032258, 'p': 0.8333333333333334, 'f': 0.8196721261488847}"
