,rouge-1,rouge-2,rouge-l
111,"{'r': 0.5333333333333333, 'p': 0.5614035087719298, 'f': 0.5470085420118345}","{'r': 0.41333333333333333, 'p': 0.5, 'f': 0.4525547395705685}","{'r': 0.5333333333333333, 'p': 0.5614035087719298, 'f': 0.5470085420118345}"
112,"{'r': 0.5952380952380952, 'p': 0.6097560975609756, 'f': 0.6024096335549428}","{'r': 0.4716981132075472, 'p': 0.45454545454545453, 'f': 0.4629629579646777}","{'r': 0.5952380952380952, 'p': 0.6097560975609756, 'f': 0.6024096335549428}"
113,"{'r': 0.52, 'p': 0.8666666666666667, 'f': 0.6499999953125001}","{'r': 0.4262295081967213, 'p': 0.7878787878787878, 'f': 0.5531914848053419}","{'r': 0.52, 'p': 0.8666666666666667, 'f': 0.6499999953125001}"
114,"{'r': 0.6935483870967742, 'p': 0.7166666666666667, 'f': 0.7049180277882291}","{'r': 0.5277777777777778, 'p': 0.5507246376811594, 'f': 0.5390070872008451}","{'r': 0.6774193548387096, 'p': 0.7, 'f': 0.6885245851652781}"
115,"{'r': 0.8979591836734694, 'p': 0.8, 'f': 0.8461538411704883}","{'r': 0.7758620689655172, 'p': 0.7377049180327869, 'f': 0.7563025160115812}","{'r': 0.8979591836734694, 'p': 0.8, 'f': 0.8461538411704883}"
116,"{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}"
117,"{'r': 0.5471698113207547, 'p': 0.6590909090909091, 'f': 0.5979381393729408}","{'r': 0.3968253968253968, 'p': 0.5, 'f': 0.44247787117237064}","{'r': 0.5283018867924528, 'p': 0.6363636363636364, 'f': 0.5773195826719099}"
118,"{'r': 0.8709677419354839, 'p': 0.9310344827586207, 'f': 0.8999999950055556}","{'r': 0.8082191780821918, 'p': 0.9076923076923077, 'f': 0.8550724587849191}","{'r': 0.8709677419354839, 'p': 0.9310344827586207, 'f': 0.8999999950055556}"
119,"{'r': 0.6122448979591837, 'p': 0.4918032786885246, 'f': 0.5454545405140497}","{'r': 0.48333333333333334, 'p': 0.3972602739726027, 'f': 0.4360902206116796}","{'r': 0.6122448979591837, 'p': 0.4918032786885246, 'f': 0.5454545405140497}"
120,"{'r': 0.5, 'p': 0.41935483870967744, 'f': 0.4561403459156664}","{'r': 0.39705882352941174, 'p': 0.34177215189873417, 'f': 0.36734693380350786}","{'r': 0.5, 'p': 0.41935483870967744, 'f': 0.4561403459156664}"
121,"{'r': 0.5263157894736842, 'p': 0.6382978723404256, 'f': 0.5769230719693048}","{'r': 0.4225352112676056, 'p': 0.5769230769230769, 'f': 0.4878048731680878}","{'r': 0.5263157894736842, 'p': 0.6382978723404256, 'f': 0.5769230719693048}"
122,"{'r': 0.3157894736842105, 'p': 0.32142857142857145, 'f': 0.3185840657968518}","{'r': 0.14516129032258066, 'p': 0.13636363636363635, 'f': 0.140624995004883}","{'r': 0.2807017543859649, 'p': 0.2857142857142857, 'f': 0.28318583570835626}"
123,"{'r': 0.7391304347826086, 'p': 0.6415094339622641, 'f': 0.6868686818936842}","{'r': 0.47540983606557374, 'p': 0.5, 'f': 0.48739495298637103}","{'r': 0.7391304347826086, 'p': 0.6415094339622641, 'f': 0.6868686818936842}"
124,"{'r': 0.6153846153846154, 'p': 0.5423728813559322, 'f': 0.5765765715964615}","{'r': 0.5166666666666667, 'p': 0.4305555555555556, 'f': 0.4696969647382921}","{'r': 0.5961538461538461, 'p': 0.5254237288135594, 'f': 0.5585585535784434}"
125,"{'r': 0.68, 'p': 0.7391304347826086, 'f': 0.708333328342014}","{'r': 0.576271186440678, 'p': 0.6071428571428571, 'f': 0.5913043428294897}","{'r': 0.68, 'p': 0.7391304347826086, 'f': 0.708333328342014}"
126,"{'r': 0.9411764705882353, 'p': 0.9795918367346939, 'f': 0.9599999950020001}","{'r': 0.8947368421052632, 'p': 0.9272727272727272, 'f': 0.91071428071588}","{'r': 0.9411764705882353, 'p': 0.9795918367346939, 'f': 0.9599999950020001}"
127,"{'r': 0.6226415094339622, 'p': 0.66, 'f': 0.6407766940333679}","{'r': 0.5076923076923077, 'p': 0.6, 'f': 0.5499999950347222}","{'r': 0.6226415094339622, 'p': 0.66, 'f': 0.6407766940333679}"
128,"{'r': 0.660377358490566, 'p': 0.6730769230769231, 'f': 0.6666666616671203}","{'r': 0.59375, 'p': 0.6551724137931034, 'f': 0.6229508146842248}","{'r': 0.660377358490566, 'p': 0.6730769230769231, 'f': 0.6666666616671203}"
129,"{'r': 0.5740740740740741, 'p': 0.5740740740740741, 'f': 0.5740740690740741}","{'r': 0.3387096774193548, 'p': 0.3333333333333333, 'f': 0.33599999500032}","{'r': 0.48148148148148145, 'p': 0.48148148148148145, 'f': 0.48148147648148143}"
130,"{'r': 0.6724137931034483, 'p': 0.609375, 'f': 0.6393442573071755}","{'r': 0.5428571428571428, 'p': 0.4810126582278481, 'f': 0.5100671091122022}","{'r': 0.6724137931034483, 'p': 0.609375, 'f': 0.6393442573071755}"
131,"{'r': 0.9636363636363636, 'p': 0.8153846153846154, 'f': 0.8833333283680557}","{'r': 0.9508196721311475, 'p': 0.7733333333333333, 'f': 0.8529411715235727}","{'r': 0.9636363636363636, 'p': 0.8153846153846154, 'f': 0.8833333283680557}"
132,"{'r': 0.8787878787878788, 'p': 1.0, 'f': 0.9354838659885536}","{'r': 0.8666666666666667, 'p': 1.0, 'f': 0.9285714235969389}","{'r': 0.8787878787878788, 'p': 1.0, 'f': 0.9354838659885536}"
133,"{'r': 0.5769230769230769, 'p': 0.6, 'f': 0.5882352891195695}","{'r': 0.4461538461538462, 'p': 0.48333333333333334, 'f': 0.46399999500800004}","{'r': 0.5769230769230769, 'p': 0.6, 'f': 0.5882352891195695}"
134,"{'r': 0.6875, 'p': 0.8461538461538461, 'f': 0.7586206847086802}","{'r': 0.6545454545454545, 'p': 0.8, 'f': 0.7199999950500001}","{'r': 0.6875, 'p': 0.8461538461538461, 'f': 0.7586206847086802}"
135,"{'r': 0.631578947368421, 'p': 0.5714285714285714, 'f': 0.5999999950125001}","{'r': 0.35555555555555557, 'p': 0.3333333333333333, 'f': 0.3440860165105793}","{'r': 0.6052631578947368, 'p': 0.5476190476190477, 'f': 0.5749999950125}"
136,"{'r': 0.8125, 'p': 0.639344262295082, 'f': 0.7155963253463515}","{'r': 0.7254901960784313, 'p': 0.5522388059701493, 'f': 0.6271186391597242}","{'r': 0.8125, 'p': 0.639344262295082, 'f': 0.7155963253463515}"
137,"{'r': 0.71875, 'p': 0.7419354838709677, 'f': 0.73015872515999}","{'r': 0.6805555555555556, 'p': 0.6901408450704225, 'f': 0.6853146803149298}","{'r': 0.71875, 'p': 0.7419354838709677, 'f': 0.73015872515999}"
138,"{'r': 0.6744186046511628, 'p': 0.6041666666666666, 'f': 0.6373626323777322}","{'r': 0.46296296296296297, 'p': 0.4807692307692308, 'f': 0.47169810820932717}","{'r': 0.627906976744186, 'p': 0.5625, 'f': 0.5934065884216883}"
139,"{'r': 0.6274509803921569, 'p': 0.5423728813559322, 'f': 0.5818181768446282}","{'r': 0.5789473684210527, 'p': 0.4782608695652174, 'f': 0.5238095188548754}","{'r': 0.6274509803921569, 'p': 0.5423728813559322, 'f': 0.5818181768446282}"
140,"{'r': 1.0, 'p': 0.9824561403508771, 'f': 0.9911504374782677}","{'r': 0.9848484848484849, 'p': 0.9701492537313433, 'f': 0.9774436040228391}","{'r': 1.0, 'p': 0.9824561403508771, 'f': 0.9911504374782677}"
141,"{'r': 1.0, 'p': 0.9696969696969697, 'f': 0.9846153796165681}","{'r': 0.9859154929577465, 'p': 0.9333333333333333, 'f': 0.9589041045927943}","{'r': 1.0, 'p': 0.9696969696969697, 'f': 0.9846153796165681}"
142,"{'r': 0.88, 'p': 0.7586206896551724, 'f': 0.8148148098422496}","{'r': 0.7666666666666667, 'p': 0.6666666666666666, 'f': 0.7131782895979809}","{'r': 0.88, 'p': 0.7586206896551724, 'f': 0.8148148098422496}"
143,"{'r': 0.19607843137254902, 'p': 0.18181818181818182, 'f': 0.18867924029013897}","{'r': 0.08333333333333333, 'p': 0.078125, 'f': 0.08064515629552581}","{'r': 0.17647058823529413, 'p': 0.16363636363636364, 'f': 0.1698113157618371}"
144,"{'r': 0.6111111111111112, 'p': 0.6346153846153846, 'f': 0.6226415044357423}","{'r': 0.5230769230769231, 'p': 0.5230769230769231, 'f': 0.5230769180769231}","{'r': 0.5925925925925926, 'p': 0.6153846153846154, 'f': 0.6037735799074405}"
145,"{'r': 0.7916666666666666, 'p': 0.7916666666666666, 'f': 0.7916666616666667}","{'r': 0.7580645161290323, 'p': 0.746031746031746, 'f': 0.7519999950003201}","{'r': 0.7916666666666666, 'p': 0.7916666666666666, 'f': 0.7916666616666667}"
146,"{'r': 0.6792452830188679, 'p': 0.6923076923076923, 'f': 0.6857142807147393}","{'r': 0.4444444444444444, 'p': 0.4745762711864407, 'f': 0.4590163884479978}","{'r': 0.6037735849056604, 'p': 0.6153846153846154, 'f': 0.6095238045242631}"
147,"{'r': 1.0, 'p': 0.8253968253968254, 'f': 0.9043478211327033}","{'r': 0.9310344827586207, 'p': 0.7397260273972602, 'f': 0.8244274759815863}","{'r': 1.0, 'p': 0.8253968253968254, 'f': 0.9043478211327033}"
148,"{'r': 0.8392857142857143, 'p': 0.8103448275862069, 'f': 0.8245613985103109}","{'r': 0.7868852459016393, 'p': 0.7741935483870968, 'f': 0.7804877998783794}","{'r': 0.8392857142857143, 'p': 0.8103448275862069, 'f': 0.8245613985103109}"
149,"{'r': 0.7346938775510204, 'p': 0.7659574468085106, 'f': 0.7499999950021702}","{'r': 0.5932203389830508, 'p': 0.660377358490566, 'f': 0.6249999950143496}","{'r': 0.7346938775510204, 'p': 0.7659574468085106, 'f': 0.7499999950021702}"
150,"{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}"
151,"{'r': 0.8103448275862069, 'p': 0.734375, 'f': 0.7704917982907821}","{'r': 0.6190476190476191, 'p': 0.5064935064935064, 'f': 0.5571428521928571}","{'r': 0.8103448275862069, 'p': 0.734375, 'f': 0.7704917982907821}"
152,"{'r': 0.4772727272727273, 'p': 0.40384615384615385, 'f': 0.43749999503472226}","{'r': 0.21818181818181817, 'p': 0.19047619047619047, 'f': 0.2033898255314566}","{'r': 0.4318181818181818, 'p': 0.36538461538461536, 'f': 0.39583332836805557}"
153,"{'r': 1.0, 'p': 0.8571428571428571, 'f': 0.9230769181065088}","{'r': 0.9821428571428571, 'p': 0.7857142857142857, 'f': 0.8730158680776015}","{'r': 1.0, 'p': 0.8571428571428571, 'f': 0.9230769181065088}"
154,"{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}"
155,"{'r': 0.1346153846153846, 'p': 0.1590909090909091, 'f': 0.14583332836805574}","{'r': 0.016666666666666666, 'p': 0.02, 'f': 0.018181813223141847}","{'r': 0.1346153846153846, 'p': 0.1590909090909091, 'f': 0.14583332836805574}"
156,"{'r': 0.68, 'p': 0.7555555555555555, 'f': 0.7157894686980609}","{'r': 0.6440677966101694, 'p': 0.7169811320754716, 'f': 0.678571423585778}","{'r': 0.68, 'p': 0.7555555555555555, 'f': 0.7157894686980609}"
157,"{'r': 0.7959183673469388, 'p': 0.8297872340425532, 'f': 0.8124999950021702}","{'r': 0.7333333333333333, 'p': 0.7586206896551724, 'f': 0.7457627068658432}","{'r': 0.7959183673469388, 'p': 0.8297872340425532, 'f': 0.8124999950021702}"
158,"{'r': 0.9666666666666667, 'p': 0.9830508474576272, 'f': 0.9747899109667397}","{'r': 0.9452054794520548, 'p': 0.971830985915493, 'f': 0.958333328334298}","{'r': 0.9666666666666667, 'p': 0.9830508474576272, 'f': 0.9747899109667397}"
159,"{'r': 0.3125, 'p': 0.23809523809523808, 'f': 0.27027026536157783}","{'r': 0.01818181818181818, 'p': 0.013888888888888888, 'f': 0.015748026585654704}","{'r': 0.2916666666666667, 'p': 0.2222222222222222, 'f': 0.25225224734355983}"
160,"{'r': 0.5714285714285714, 'p': 0.5714285714285714, 'f': 0.5714285664285715}","{'r': 0.4107142857142857, 'p': 0.42592592592592593, 'f': 0.41818181318347114}","{'r': 0.5510204081632653, 'p': 0.5510204081632653, 'f': 0.5510204031632653}"
161,"{'r': 0.8333333333333334, 'p': 1.0, 'f': 0.9090909041322315}","{'r': 0.803030303030303, 'p': 0.9814814814814815, 'f': 0.8833333283833332}","{'r': 0.8333333333333334, 'p': 1.0, 'f': 0.9090909041322315}"
162,"{'r': 0.2549019607843137, 'p': 0.23214285714285715, 'f': 0.24299064921652555}","{'r': 0.06557377049180328, 'p': 0.06779661016949153, 'f': 0.06666666166805595}","{'r': 0.2549019607843137, 'p': 0.23214285714285715, 'f': 0.24299064921652555}"
163,"{'r': 0.9821428571428571, 'p': 0.9016393442622951, 'f': 0.9401709351800717}","{'r': 0.95, 'p': 0.8507462686567164, 'f': 0.8976377902907806}","{'r': 0.9821428571428571, 'p': 0.9016393442622951, 'f': 0.9401709351800717}"
164,"{'r': 1.0, 'p': 0.921875, 'f': 0.9593495885041973}","{'r': 1.0, 'p': 0.918918918918919, 'f': 0.9577464738821664}","{'r': 1.0, 'p': 0.921875, 'f': 0.9593495885041973}"
165,"{'r': 0.5576923076923077, 'p': 0.6041666666666666, 'f': 0.5799999950079999}","{'r': 0.39655172413793105, 'p': 0.4107142857142857, 'f': 0.40350876693136356}","{'r': 0.5384615384615384, 'p': 0.5833333333333334, 'f': 0.559999995008}"
166,"{'r': 0.9818181818181818, 'p': 0.8571428571428571, 'f': 0.9152542323111176}","{'r': 0.9344262295081968, 'p': 0.8260869565217391, 'f': 0.8769230719420119}","{'r': 0.9818181818181818, 'p': 0.8571428571428571, 'f': 0.9152542323111176}"
167,"{'r': 0.8297872340425532, 'p': 0.75, 'f': 0.7878787828915418}","{'r': 0.6557377049180327, 'p': 0.6451612903225806, 'f': 0.6504064990653712}","{'r': 0.8297872340425532, 'p': 0.75, 'f': 0.7878787828915418}"
168,"{'r': 0.5849056603773585, 'p': 0.5254237288135594, 'f': 0.5535714235857782}","{'r': 0.4745762711864407, 'p': 0.417910447761194, 'f': 0.4444444394646007}","{'r': 0.5849056603773585, 'p': 0.5254237288135594, 'f': 0.5535714235857782}"
169,"{'r': 0.7692307692307693, 'p': 0.7692307692307693, 'f': 0.7692307642307693}","{'r': 0.6610169491525424, 'p': 0.6964285714285714, 'f': 0.6782608645686201}","{'r': 0.7692307692307693, 'p': 0.7692307692307693, 'f': 0.7692307642307693}"
170,"{'r': 0.2608695652173913, 'p': 0.24489795918367346, 'f': 0.25263157395235464}","{'r': 0.06666666666666667, 'p': 0.06666666666666667, 'f': 0.06666666166666704}","{'r': 0.2391304347826087, 'p': 0.22448979591836735, 'f': 0.23157894237340734}"
171,"{'r': 0.5625, 'p': 0.45, 'f': 0.4999999950617285}","{'r': 0.5, 'p': 0.40298507462686567, 'f': 0.44628098679325184}","{'r': 0.5625, 'p': 0.45, 'f': 0.4999999950617285}"
172,"{'r': 0.48, 'p': 0.48, 'f': 0.479999995}","{'r': 0.3559322033898305, 'p': 0.35, 'f': 0.35294117147094134}","{'r': 0.46, 'p': 0.46, 'f': 0.45999999500000005}"
173,"{'r': 0.803921568627451, 'p': 0.7454545454545455, 'f': 0.7735849006674975}","{'r': 0.6491228070175439, 'p': 0.5873015873015873, 'f': 0.6166666616791668}","{'r': 0.803921568627451, 'p': 0.7454545454545455, 'f': 0.7735849006674975}"
174,"{'r': 0.9814814814814815, 'p': 0.9814814814814815, 'f': 0.9814814764814815}","{'r': 0.9508196721311475, 'p': 0.9666666666666667, 'f': 0.9586776809507548}","{'r': 0.9814814814814815, 'p': 0.9814814814814815, 'f': 0.9814814764814815}"
175,"{'r': 0.9777777777777777, 'p': 0.9777777777777777, 'f': 0.9777777727777778}","{'r': 0.9629629629629629, 'p': 0.9629629629629629, 'f': 0.9629629579629629}","{'r': 0.9777777777777777, 'p': 0.9777777777777777, 'f': 0.9777777727777778}"
176,"{'r': 0.5227272727272727, 'p': 0.46938775510204084, 'f': 0.494623650928431}","{'r': 0.35714285714285715, 'p': 0.3389830508474576, 'f': 0.3478260819599244}","{'r': 0.5227272727272727, 'p': 0.46938775510204084, 'f': 0.494623650928431}"
177,"{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}"
178,"{'r': 0.9791666666666666, 'p': 0.8545454545454545, 'f': 0.9126213542463947}","{'r': 0.95, 'p': 0.8382352941176471, 'f': 0.8906249950195313}","{'r': 0.9791666666666666, 'p': 0.8545454545454545, 'f': 0.9126213542463947}"
179,"{'r': 0.3125, 'p': 0.30612244897959184, 'f': 0.3092783455159954}","{'r': 0.19607843137254902, 'p': 0.17857142857142858, 'f': 0.1869158828613854}","{'r': 0.3125, 'p': 0.30612244897959184, 'f': 0.3092783455159954}"
180,"{'r': 0.9411764705882353, 'p': 0.8, 'f': 0.8648648598977356}","{'r': 0.864406779661017, 'p': 0.75, 'f': 0.8031496013243228}","{'r': 0.9411764705882353, 'p': 0.8, 'f': 0.8648648598977356}"
181,"{'r': 0.625, 'p': 0.5932203389830508, 'f': 0.6086956471773158}","{'r': 0.38095238095238093, 'p': 0.3287671232876712, 'f': 0.35294117149762116}","{'r': 0.6071428571428571, 'p': 0.576271186440678, 'f': 0.5913043428294897}"
182,"{'r': 0.5094339622641509, 'p': 0.5094339622641509, 'f': 0.5094339572641511}","{'r': 0.23809523809523808, 'p': 0.21739130434782608, 'f': 0.22727272228305795}","{'r': 0.4716981132075472, 'p': 0.4716981132075472, 'f': 0.4716981082075472}"
183,"{'r': 0.864406779661017, 'p': 1.0, 'f': 0.9272727222991737}","{'r': 0.8656716417910447, 'p': 0.9830508474576272, 'f': 0.9206349156550769}","{'r': 0.864406779661017, 'p': 1.0, 'f': 0.9272727222991737}"
184,"{'r': 0.723404255319149, 'p': 0.7727272727272727, 'f': 0.7472527422581814}","{'r': 0.6896551724137931, 'p': 0.7142857142857143, 'f': 0.7017543809664513}","{'r': 0.723404255319149, 'p': 0.7727272727272727, 'f': 0.7472527422581814}"
185,"{'r': 0.7192982456140351, 'p': 0.7592592592592593, 'f': 0.7387387337423912}","{'r': 0.65, 'p': 0.6842105263157895, 'f': 0.6666666616699541}","{'r': 0.7192982456140351, 'p': 0.7592592592592593, 'f': 0.7387387337423912}"
186,"{'r': 0.6521739130434783, 'p': 0.5172413793103449, 'f': 0.5769230719896451}","{'r': 0.5535714285714286, 'p': 0.484375, 'f': 0.516666661688889}","{'r': 0.6304347826086957, 'p': 0.5, 'f': 0.5576923027588757}"
187,"{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}"
188,"{'r': 0.559322033898305, 'p': 0.4852941176470588, 'f': 0.5196850343951889}","{'r': 0.2753623188405797, 'p': 0.25333333333333335, 'f': 0.2638888838975696}","{'r': 0.559322033898305, 'p': 0.4852941176470588, 'f': 0.5196850343951889}"
189,"{'r': 0.9285714285714286, 'p': 0.9811320754716981, 'f': 0.9541284353707601}","{'r': 0.8983050847457628, 'p': 0.9636363636363636, 'f': 0.9298245564096647}","{'r': 0.9285714285714286, 'p': 0.9811320754716981, 'f': 0.9541284353707601}"
190,"{'r': 0.7407407407407407, 'p': 0.7407407407407407, 'f': 0.7407407357407407}","{'r': 0.5230769230769231, 'p': 0.53125, 'f': 0.527131777946037}","{'r': 0.7407407407407407, 'p': 0.7407407407407407, 'f': 0.7407407357407407}"
191,"{'r': 0.2, 'p': 0.19230769230769232, 'f': 0.19607842637447148}","{'r': 0.01639344262295082, 'p': 0.017241379310344827, 'f': 0.01680671769225486}","{'r': 0.2, 'p': 0.19230769230769232, 'f': 0.19607842637447148}"
192,"{'r': 0.7068965517241379, 'p': 0.82, 'f': 0.7592592542866942}","{'r': 0.5441176470588235, 'p': 0.6166666666666667, 'f': 0.5781249950195313}","{'r': 0.7068965517241379, 'p': 0.82, 'f': 0.7592592542866942}"
193,"{'r': 0.559322033898305, 'p': 0.717391304347826, 'f': 0.6285714236480726}","{'r': 0.2835820895522388, 'p': 0.3584905660377358, 'f': 0.31666666173472224}","{'r': 0.5423728813559322, 'p': 0.6956521739130435, 'f': 0.6095238046004536}"
194,"{'r': 1.0, 'p': 0.95, 'f': 0.9743589693622617}","{'r': 0.9545454545454546, 'p': 0.9130434782608695, 'f': 0.9333333283358024}","{'r': 1.0, 'p': 0.95, 'f': 0.9743589693622617}"
195,"{'r': 0.96, 'p': 1.0, 'f': 0.9795918317367763}","{'r': 0.9491525423728814, 'p': 0.9824561403508771, 'f': 0.9655172363807967}","{'r': 0.96, 'p': 1.0, 'f': 0.9795918317367763}"
196,"{'r': 0.6984126984126984, 'p': 0.9361702127659575, 'f': 0.7999999951057852}","{'r': 0.6428571428571429, 'p': 0.8823529411764706, 'f': 0.743801648015846}","{'r': 0.6984126984126984, 'p': 0.9361702127659575, 'f': 0.7999999951057852}"
197,"{'r': 0.42857142857142855, 'p': 0.41379310344827586, 'f': 0.4210526265804863}","{'r': 0.31746031746031744, 'p': 0.3333333333333333, 'f': 0.3252032470354948}","{'r': 0.42857142857142855, 'p': 0.41379310344827586, 'f': 0.4210526265804863}"
198,"{'r': 0.5555555555555556, 'p': 0.5555555555555556, 'f': 0.5555555505555557}","{'r': 0.4375, 'p': 0.4, 'f': 0.4179104427712186}","{'r': 0.5370370370370371, 'p': 0.5370370370370371, 'f': 0.5370370320370372}"
199,"{'r': 0.8958333333333334, 'p': 0.8113207547169812, 'f': 0.8514851435271052}","{'r': 0.8666666666666667, 'p': 0.7647058823529411, 'f': 0.8124999950195313}","{'r': 0.8958333333333334, 'p': 0.8113207547169812, 'f': 0.8514851435271052}"
200,"{'r': 0.8, 'p': 0.676923076923077, 'f': 0.7333333283680558}","{'r': 0.6774193548387096, 'p': 0.5454545454545454, 'f': 0.6043165418208168}","{'r': 0.8, 'p': 0.676923076923077, 'f': 0.7333333283680558}"
201,"{'r': 0.8301886792452831, 'p': 0.6875, 'f': 0.7521367471809483}","{'r': 0.7, 'p': 0.5675675675675675, 'f': 0.6268656666963689}","{'r': 0.8301886792452831, 'p': 0.6875, 'f': 0.7521367471809483}"
202,"{'r': 0.9666666666666667, 'p': 0.7733333333333333, 'f': 0.8592592543209877}","{'r': 0.9253731343283582, 'p': 0.7560975609756098, 'f': 0.8322147601513445}","{'r': 0.9666666666666667, 'p': 0.7733333333333333, 'f': 0.8592592543209877}"
203,"{'r': 0.6153846153846154, 'p': 0.6153846153846154, 'f': 0.6153846103846154}","{'r': 0.546875, 'p': 0.5384615384615384, 'f': 0.5426356539150293}","{'r': 0.6153846153846154, 'p': 0.6153846153846154, 'f': 0.6153846103846154}"
204,"{'r': 0.8771929824561403, 'p': 0.9090909090909091, 'f': 0.8928571378587372}","{'r': 0.8307692307692308, 'p': 0.8307692307692308, 'f': 0.8307692257692308}","{'r': 0.8771929824561403, 'p': 0.9090909090909091, 'f': 0.8928571378587372}"
205,"{'r': 0.6545454545454545, 'p': 0.5538461538461539, 'f': 0.5999999950347223}","{'r': 0.49206349206349204, 'p': 0.44285714285714284, 'f': 0.46616540854768496}","{'r': 0.6181818181818182, 'p': 0.5230769230769231, 'f': 0.566666661701389}"
206,"{'r': 0.7058823529411765, 'p': 0.75, 'f': 0.7272727222773187}","{'r': 0.6557377049180327, 'p': 0.6779661016949152, 'f': 0.6666666616680557}","{'r': 0.7058823529411765, 'p': 0.75, 'f': 0.7272727222773187}"
207,"{'r': 0.5098039215686274, 'p': 0.6190476190476191, 'f': 0.5591397799930629}","{'r': 0.43859649122807015, 'p': 0.49019607843137253, 'f': 0.46296295797839504}","{'r': 0.49019607843137253, 'p': 0.5952380952380952, 'f': 0.5376344036489769}"
